feature_type,dataset,difficulty,query type,alpha,diffusion scalar,distance metric,mAP,precision at 1,precision at 5,precision at 10
swin,par,H,basic,,,euclidean,0.9794298379659074,1.0,0.9971428571428571,0.9914285714285715
swin,par,H,expanded,0.25,,euclidean,0.9828228903759548,1.0,0.9971428571428571,0.9942857142857142
swin,par,H,expanded,0.5,,euclidean,0.9899993571602743,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,expanded,0.75,,euclidean,0.99346224801886,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,expanded,1.0,,euclidean,0.9938232724402539,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,basic,,,cosine,0.9933816229795974,1.0,0.9971428571428571,0.9971428571428571
swin,par,H,expanded,0.25,,cosine,0.9974274265540659,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,expanded,0.5,,cosine,0.9977614459565776,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,expanded,0.75,,cosine,0.9977326771382906,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,expanded,1.0,,cosine,0.9976945681574768,1.0,0.9971428571428571,0.9985714285714287
swin,par,H,diffusion,,1.0,,0.8877734069389526,0.9285714285714286,0.9342857142857144,0.937142857142857
vgg,ox,E,basic,,,euclidean,0.6641224260609803,0.7571428571428571,0.6028571428571429,0.5428571428571428
vgg,ox,E,expanded,0.25,,euclidean,0.6718019330653001,0.7571428571428571,0.6028571428571429,0.54
vgg,ox,E,expanded,0.5,,euclidean,0.6770529130738316,0.7571428571428571,0.6028571428571429,0.5414285714285714
vgg,ox,E,expanded,0.75,,euclidean,0.6779146564332693,0.7571428571428571,0.6028571428571429,0.5414285714285714
vgg,ox,E,expanded,1.0,,euclidean,0.6774609565832224,0.7571428571428571,0.6028571428571429,0.5385714285714285
vgg,ox,E,basic,,,cosine,0.7702650185187713,0.7857142857142857,0.7142857142857143,0.6471428571428572
vgg,ox,E,expanded,0.25,,cosine,0.7850940989954923,0.7857142857142857,0.7142857142857143,0.6528571428571428
vgg,ox,E,expanded,0.5,,cosine,0.7844803057827702,0.7857142857142857,0.7142857142857143,0.6528571428571428
vgg,ox,E,expanded,0.75,,cosine,0.7831098100342146,0.7857142857142857,0.7142857142857143,0.6528571428571428
vgg,ox,E,expanded,1.0,,cosine,0.7823386323480488,0.7857142857142857,0.7142857142857143,0.6499999999999999
vgg,ox,E,diffusion,,1.0,,0.5159638094572844,0.5142857142857142,0.5028571428571429,0.4885714285714286
vgg,ox,M,basic,,,euclidean,0.5719887247154526,0.7142857142857143,0.6485714285714286,0.6171428571428572
vgg,ox,M,expanded,0.25,,euclidean,0.5811794639824689,0.7142857142857143,0.6485714285714286,0.6071428571428572
vgg,ox,M,expanded,0.5,,euclidean,0.58961248780265,0.7142857142857143,0.6485714285714286,0.61
vgg,ox,M,expanded,0.75,,euclidean,0.5949436741839443,0.7142857142857143,0.6485714285714286,0.6142857142857143
vgg,ox,M,expanded,1.0,,euclidean,0.5995253851200154,0.7142857142857143,0.6485714285714286,0.6214285714285714
vgg,ox,M,basic,,,cosine,0.6936577906313003,0.8,0.7285714285714285,0.6785714285714287
vgg,ox,M,expanded,0.25,,cosine,0.7321977080428947,0.8,0.7285714285714285,0.7057142857142858
